Project,RFpair,BTgRFpair,BTbRFpair,PyCaret,AutoTCP
Angel-ML/angel,0.81,0.82,0.83,0.86,0.87
apache/airavata,0.84,0.85,0.85,0.84,0.84
apache/curator,0.85,0.86,0.91,0.89,0.91
apache/logging-log4j2,0.94,0.95,0.95,0.96,0.97
apache/rocketmq,0.81,0.84,0.87,0.75,0.81
apache/shardingsphere,0.91,0.99,0.99,0.98,0.98
apache/sling,0.79,0.92,0.92,0.92,0.93
b2ihealthcare/snow-owl,0.78,0.67,0.69,0.68,0.69
camunda/camunda-bpm-platform,0.90,0.93,0.93,0.82,0.83
cantaloupe-project/cantaloupe,0.77,0.81,0.82,0.68,0.65
CompEvol/beast2,0.78,0.77,0.80,0.80,0.80
eclipse/jetty.project,0.86,0.95,0.95,0.94,0.95
eclipse/paho.mqtt.java,0.56,0.66,0.79,0.62,0.70
eclipse/steady,0.92,0.92,0.94,0.89,0.91
EMResearch/EvoMaster,0.77,0.79,0.79,0.77,0.77
facebook/buck,0.88,0.87,0.89,0.73,0.74
Graylog2/graylog2-server,0.98,0.98,0.99,0.97,0.98
jcabi/jcabi-github,0.70,0.96,0.96,0.98,0.96
JMRI/JMRI,0.77,0.88,0.88,0.76,0.74
optimatika/ojAlgo,0.85,0.86,0.86,0.74,0.76
SonarSource/sonarqube,0.75,0.72,0.76,0.55,0.54
spring-cloud/spring-cloud-dataflow,0.78,0.93,0.93,0.88,0.88
thinkaurelius/titan,0.66,0.75,0.75,0.74,0.77
yamcs/Yamcs,0.73,0.74,0.76,0.73,0.74
zolyfarkas/spf4j,0.88,0.92,0.93,0.91,0.92
